Ticket ID,Ria Order Number,month,Order Status,data_source,Customer Sending Location
23044255,AU868861509,2026-04,Paid,inbound,EW103
23044340,AU868861509,2026-04,Paid,inbound,EW103
23098122,AU868861509,2026-04,Paid,inbound,EW103
22028178,AU888260764,2026-03,Voided,messaging,EW103
22046052,AU888260764,2026-03,Voided,inbound,EW103
23043597,AU951978409,2026-04,Sent to Corresp,messaging,EW103
23043975,AU951978409,2026-04,Refunded,inbound,EW103
22076214,AU981020564,2026-03,Canceled,inbound,EW103
22076567,AU981020564,2026-03,Canceled,inbound,EW103
22079328,AU981020564,2026-03,Canceled,inbound,EW103
23074892,AU996300809,2026-04,Legal Hold,inbound,EW103
23076646,AU996300809,2026-04,Legal Hold,inbound,EW103
23078879,AU996300809,2026-04,Legal Hold,inbound,EW103
23094196,AU996300809,2026-04,Legal Hold,inbound,EW103
21316628,NZ1023550163,2026-02,Canceled,inbound,NZ1579
21316714,NZ1023550163,2026-02,Canceled,inbound,NZ1579
21316864,NZ1023550163,2026-02,Refunded,inbound,NZ1579
21473291,NZ1023550163,2026-02,Refunded,inbound,NZ1579
21473440,NZ1023550163,2026-02,Refunded,inbound,NZ1579
21192984,NZ1129900763,2026-02,Paid,inbound,NZ1517
22019753,NZ1329819963,2026-03,Canceled,inbound,NZ1451
22019834,NZ1329819963,2026-03,Refunded,inbound,NZ1451
21396264,NZ1330657578,2026-02,Canceled,inbound,NZ1445
21396367,NZ1330657578,2026-02,Canceled,inbound,NZ1445
21580868,NZ1342809163,2026-02,To Cancel,inbound,NZ1517
21605855,NZ1342809163,2026-02,To Cancel,inbound,NZ1517
21681407,NZ1342809163,2026-02,Canceled,inbound,NZ1517
22412799,NZ1642981064,2026-03,Sent to Corresp,inbound,NZ1257
22439194,NZ1642981064,2026-03,Sent to Corresp,inbound,NZ1257
22386311,NZ1650487664,2026-03,Legal Hold,inbound,NZ1431
21472637,NZ1698721563,2026-02,On Hold,inbound,NZ1517
21492120,NZ1698721563,2026-02,On Hold,inbound,NZ1517
21492272,NZ1698721563,2026-02,On Hold,inbound,NZ1517
21524477,NZ1698721563,2026-02,On Hold,inbound,NZ1517
21580906,NZ1853156963,2026-02,Legal Hold,inbound,NZ1472
21629520,NZ1853156963,2026-02,Canceled,inbound,NZ1472
22534753,NZ1908802964,2026-03,Legal Hold,messaging,EW111
22546640,NZ1908802964,2026-03,Legal Hold,inbound,EW111
22546670,NZ1908802964,2026-03,On Hold,inbound,EW111
21734412,NZ201419064,2026-02,Legal Hold,inbound,EW111
21734458,NZ201419064,2026-02,Paid,inbound,EW111
22620017,NZ2099125364,2026-04,Legal Hold,messaging,EW111
22621944,NZ2099125364,2026-04,Posted,inbound,EW111
21521928,NZ556254963,2026-02,Paid,inbound,EW111
21581290,NZ556254963,2026-02,Paid,inbound,EW111
21901102,NZ556254963,2026-03,Paid,inbound,EW111
22854124,NZ570649609,2026-04,Legal Hold,inbound,NZ1431
22854847,NZ570649609,2026-04,Legal Hold,inbound,NZ1431
22854944,NZ570649609,2026-04,Legal Hold,inbound,NZ1431
22670294,NZ649564764,2026-04,Canceled,inbound,NZ1445
22782054,NZ649564764,2026-04,Canceled,inbound,NZ1445
22049761,NZ869668664,2026-03,On Hold,inbound,NZ1307
22077995,NZ869668664,2026-03,On Hold,inbound,NZ1307
21353334,NZ986535863,2026-02,Paid,inbound,EW111
21353417,NZ986535863,2026-02,Paid,inbound,EW111
21353514,NZ986535863,2026-02,Paid,inbound,EW111
